Test Number,Max Eigenvalue,Iterations for Max,Min Eigenvalue,Iterations for Min,Trace,Determinant
1,null,infinity,null,infinity,-1.1485478525514186,1.6081348131188955,
2,-1.8499099322995913,16,0.8389561224702589,14,-1.01097440056665,-1.551994106241371,
3,-1.31299347524325,6,-0.0897000023721305,7,-1.4026938158504234,0.1177755361951338,
4,null,infinity,null,infinity,2.2938757444733127,1.3330310390973548,
5,1.4574650743796058,90,-1.3274401600688768,90,0.12996242313660966,-1.9347239261821407,
6,-1.5828777512227523,12,0.5741577971355996,13,-1.0087248625104168,-0.9088308816176083,
7,2.5042132994369464,5,-0.22780957676469146,6,2.2764034632363117,-0.5704831949791116,
8,1.3714560415480102,8,-0.1307360879373173,6,1.240720460409917,-0.17929875940649947,
9,1.4668633748944075,29,-0.9715682923299624,26,0.4952935124924127,-1.4251208364339774,
10,null,infinity,null,infinity,0.5018652409282827,0.7127761402466904,
11,null,infinity,null,infinity,1.5065322546275741,0.6737641735830102,
12,null,infinity,null,infinity,0.20631138042911612,1.0413503504963,
13,-1.5407842740259667,4,0.08512924646490096,5,-1.4556548509867988,-0.13116577162374937,
14,null,infinity,null,infinity,-2.618939497398312,2.5330122130075234,
15,null,infinity,null,infinity,-1.609841265898575,3.4665236262256984,
16,null,infinity,null,infinity,1.3798748400881822,0.5689399352160367,
17,2.529942204756759,14,-1.1884273406998518,15,1.3415100705175549,-3.0067102612547987,
18,null,infinity,null,infinity,-0.12120080554925927,0.3538880995718604,
19,-2.465831735475048,9,-0.26092613480743826,5,-2.7267570531169514,0.6433998867238573,
20,1.8366720768626867,57,-1.5446056577331762,54,0.29209237549890776,-2.836811003825841,
21,-1.644161591332441,12,0.5913909046240164,13,-1.05276186317669,-0.9723285448702708,
22,null,infinity,null,infinity,0.7648194168441318,0.8800032745172434,
23,-1.4385484586622048,42,1.1655254074976533,50,-0.27307115988576314,-1.6766473641474753,
24,-1.342733332394641,9,0.24108429666793613,9,-1.101646847463297,-0.32371161447685476,
25,null,infinity,null,infinity,0.852851695863361,0.5084465836195527,
26,null,infinity,null,infinity,0.3650367496750042,0.5098283814783948,
27,2.546185243537533,9,0.8892946267163853,12,3.4354829509587406,2.2643349842395337,
28,-1.2938464354985593,28,0.8620960873203172,29,-0.43174433736683593,-1.1153858302354123,
29,null,infinity,null,infinity,2.3216092180071297,1.3849873220283666,
30,-1.5661482438412642,5,0.07031890526005846,8,-1.4958294558076486,-0.11012983904567539,
31,null,infinity,null,infinity,0.9904842537385652,2.5659862391860586,
32,null,infinity,null,infinity,-0.01864042077821404,-0.7181372223748705,
33,1.240231280249546,18,-0.6042079383079965,13,0.6360200596106602,-0.7493461000863133,
34,1.7222085645736755,9,-0.36758548770172944,10,1.3546214185668508,-0.6330573722108527,
35,-2.030394231275147,9,0.6216542577801489,10,-1.408736324014912,-1.2621968410728153,
36,null,infinity,null,infinity,-3.0708119271399554,4.154669436188608,
37,1.1555635436208656,7,0.09584360737988955,7,1.2514090444931512,0.11075355601144454,
38,-0.9677276426820642,8,0.15932814177055016,9,-0.8084019501575117,-0.15418674061042925,
39,2.4115034746051784,8,0.2400910441852108,6,2.6515935218235835,0.5789802485728464,
40,3.0092955571805784,4,0.014183898448905012,6,3.0234794525395943,0.04268354254264395,
41,-2.4770128355773964,6,0.3327470054415043,9,-2.1442694346833067,-0.8242202355443675,
42,null,infinity,null,infinity,-0.9455063204935126,1.3356266400776766,
43,-1.2770143533686282,10,-0.41035107433011414,12,-1.6873733761227845,0.5240255092194053,
44,1.7151929889251378,53,-1.404484520367412,42,0.3106889080449666,-2.4090614083512074,
45,-1.1707966833515362,15,-0.49358434501343484,11,-1.6643666030378719,0.577885103596623,
46,-2.107317662905331,31,-1.5779708843239826,24,-3.6854861772063225,3.3257670299398567,
47,-0.6325547422958447,38,0.49462609143927894,47,-0.13791400144911892,-0.3128655247171701,
48,null,infinity,null,infinity,2.7927413666397283,2.6692227655411767,
49,1.16798139492068,16,-0.5192183165572588,14,0.6487749702034611,-0.606437869067703,
50,null,infinity,null,infinity,-2.851447142855872,3.308840756457232,
51,1.6988071168636363,10,-0.6391153354455903,16,1.0597046470670368,-1.0857317876210368,
52,-1.0404651350842355,60,0.894537345314222,68,-0.14596769496607465,-0.9307371897275748,
53,-2.1105442186733367,8,0.712956285536765,6,-1.3976141790634102,-1.5047008371325243,
54,null,infinity,null,infinity,-0.08067925848838042,-1.9443740702376555,
55,null,infinity,null,infinity,-2.6310856302347383,2.8584413095315124,
56,1.5708974871273627,31,-0.976217094585739,16,0.5946805101440202,-1.5335008261527254,
57,null,infinity,null,infinity,-2.4619159042469567,2.8503295000354925,
58,-1.6546000845291173,32,1.1163285783456576,25,-0.5382796566399164,-1.8470241783111105,
59,null,infinity,-1.514567325187288,90,0.09478567982811192,-2.4376391974250704,
60,null,infinity,null,infinity,3.07002968920378,2.725757442061144,
61,null,infinity,null,infinity,-0.07706006495519668,-3.2953353202000755,
62,-0.9187862651743316,45,-0.8058272265411223,48,-1.7245258187448678,0.7403379506594188,
63,null,infinity,null,infinity,2.428216968689294,2.5624850112568867,
64,1.6705205015433442,40,-1.234109219425217,29,0.43640041934224927,-2.0616709799761717,
65,null,infinity,-3.4407787004465686,65,-3.153210027941211,4.185451896050201,
66,1.2668119379356642,18,-0.6428278704343857,18,0.6240014771203426,-0.8143434207217262,
67,1.8197575101675367,9,-0.4233751608202643,10,1.3963743536356183,-0.7704353066349029,
68,null,infinity,null,infinity,0.00309231741950855,-2.8942285929664413,
69,null,infinity,null,infinity,1.425802007505641,1.7718927258278576,
70,1.8257045912530039,7,-0.28615402037324045,7,1.5395451605304293,-0.5224314123893689,
71,null,infinity,null,infinity,-0.28061928251337687,1.1231110835294214,
72,null,infinity,null,infinity,-0.8093643447401586,1.0886948194448032,
73,null,infinity,null,infinity,0.11228890604850283,-2.2797490312524378,
74,-2.655411378828308,17,1.389952936423691,12,-1.2654513537726308,-3.6909651494100224,
75,null,infinity,null,infinity,-0.4267448079505951,1.735576676028898,
76,null,infinity,null,infinity,2.395293850793782,1.532702971949651,
77,null,infinity,null,infinity,-2.0892264971888745,3.014188227095181,
78,-1.3444806882733122,20,0.763758437726377,23,-0.5807172575126525,-1.0268363611539988,
79,null,infinity,null,infinity,0.25910284693007224,0.27977685387047335,
80,2.167582161349552,7,0.5922474287652078,9,2.7598146297371877,1.2837422735896329,
81,1.7034265643760755,7,-0.20312189872967534,8,1.5003030297891913,-0.34600274131560393,
82,1.1448312146465673,30,0.880920806766232,29,2.025723167175684,1.0085111306676622,
83,-2.0161443974120057,97,1.7946530738981274,72,-0.22144565471674627,-3.6184596699316742,
84,null,infinity,null,infinity,0.8504328380395756,0.6414491548091086,
85,1.6392195965892544,49,-1.3761912117472967,48,0.26301359860664997,-2.2559696162119023,
86,2.5022264554848213,29,-1.6645758583706634,22,0.8376764661178853,-4.165012670080845,
87,1.1687329614540378,38,-0.8532772250670442,35,0.3154544936160466,-0.9972221165446102,
88,0.3978434038416982,13,-0.15770998845360473,15,0.24012174605554737,-0.06274213841724899,
89,null,infinity,null,infinity,1.2189440839659804,1.2824454085761465,
90,null,infinity,null,infinity,-2.4728418515159176,2.13329847609832,
91,null,infinity,null,infinity,-2.3761971553074215,1.4661372211698134,
92,null,infinity,null,infinity,-0.0019048309795457463,-4.645929275300287,
93,2.132779148313702,9,-0.2656784799674135,6,1.867101493954943,-0.5666340655737486,
94,-1.450523780934751,37,1.0475071958097046,35,-0.4029812523475669,-1.5194444138632122,
95,null,infinity,null,infinity,-1.6780578187859443,1.803930513604356,
96,null,infinity,null,infinity,0.08555974817920298,0.07908181795590463,
97,null,infinity,null,infinity,0.9327747277682881,1.7228845884819788,
98,2.3811966215497504,9,-0.6513744240562059,10,1.7298211454116,-1.5510624490882416,
