i,x01,x02,x03,xN1j,xN2j,xN3j,Nj,xN1g,xN2g,xN3g,Ng
0,0.06195723215581106,-0.08451040292935108,0.922343105338103,0.0473542,0.0589339,0.0694626,31,0.0473783,0.0589470,0.0694705,8,
1,-0.034727878968555004,-0.4271053282888304,-0.5807569314149534,0.0473832,0.0589614,0.0694852,33,0.0473426,0.0589562,0.0694801,7,
2,-0.6455895389803339,0.5480294679443611,-0.34250997484155543,0.0473829,0.0589611,0.0694849,31,0.0473256,0.0589489,0.0694875,7,
3,-0.22456823694061656,-0.042981055539799806,-0.4233760980747865,0.0473539,0.0589336,0.0694624,32,0.0473400,0.0589527,0.0694818,7,
4,0.1044556728910302,0.3566055100089136,0.43093965510914667,0.0473521,0.0589319,0.0694610,31,0.0474051,0.0589249,0.0694671,6,
5,0.10466692851334636,0.36076258414195705,-0.8968530955585725,0.0473538,0.0589335,0.0694623,30,0.0473571,0.0589475,0.0694774,8,
6,-0.8466392406565106,-0.9162685365245513,0.7799656900340792,0.0473863,0.0589643,0.0694876,33,0.0473780,0.0589490,0.0694701,8,
7,0.184846703117157,-0.8480972563672173,0.9884786861530097,0.0473869,0.0589572,0.0694838,17,0.0473802,0.0589486,0.0694694,8,
8,-0.5389771066459617,0.32940516913359974,-0.5650948475945796,0.0473525,0.0589323,0.0694613,32,0.0473185,0.0589522,0.0694891,7,
9,-0.0940175903584537,0.17254282029281054,-0.18281311867498573,0.0473531,0.0589328,0.0694617,28,0.0473484,0.0589493,0.0694799,7,
10,-0.11126043437893185,-0.25028780074251156,0.49216033358516853,0.0473532,0.0589329,0.0694618,26,0.0474059,0.0589448,0.0694618,7,
11,0.7919492047258818,-0.7560813743517798,0.8152765842487872,0.0473539,0.0589336,0.0694624,31,0.0473781,0.0589486,0.0694702,8,
12,0.7380051779411132,0.5001538121667568,-0.2847130305016041,0.0473845,0.0589626,0.0694862,32,0.0473310,0.0589486,0.0694859,7,
13,0.7641699828051807,-0.4710047946171272,0.3468619577862915,0.0473839,0.0589620,0.0694857,30,0.0474039,0.0589473,0.0694619,7,
14,0.8375952322449203,-0.6965938182827884,0.8829499995699912,0.0473821,0.0589603,0.0694843,32,0.0473788,0.0589484,0.0694700,8,
15,-0.755895915621599,0.7462740526473675,0.3230623565073605,0.0473540,0.0589340,0.0694626,23,0.0473620,0.0589414,0.0694773,7,
16,0.6462879143653124,-0.3719935362657487,-0.30575978066631126,0.0473856,0.0589636,0.0694870,25,0.0473628,0.0589697,0.0694700,6,
17,-0.9396020264993001,0.7463336023018452,0.73384634945065,0.0473519,0.0589318,0.0694609,27,0.0473986,0.0589072,0.0694737,6,
18,-0.050915900255785074,0.9783542404533352,0.26703026193994717,0.0473863,0.0589643,0.0694876,32,0.0473507,0.0589407,0.0694812,7,
19,0.24359897255887697,0.38100075118318144,-0.5221204661828647,0.0473862,0.0589641,0.0694875,22,0.0473196,0.0589516,0.0694889,7,
20,0.6711148506705957,0.25843016143259745,-0.969654584560729,0.0473674,0.0589179,0.0694571,15,0.0473564,0.0589478,0.0694776,8,
21,-0.6923328594997575,0.6265817094161044,0.6989784916438861,0.0473543,0.0589340,0.0694627,29,0.0474193,0.0589086,0.0694664,6,
22,0.7347075213535459,-0.40846712438046295,-0.15747544315306206,0.0473842,0.0589622,0.0694859,24,0.0473693,0.0589520,0.0694722,7,
23,0.6991619800547524,-0.5010859111279773,0.762799529466418,0.0473511,0.0589309,0.0694602,31,0.0473771,0.0589480,0.0694706,8,
24,-0.9207873733164853,0.334635059551029,0.7073890731726904,0.0473543,0.0589340,0.0694627,28,0.0474004,0.0589397,0.0694649,7,
25,-0.6233029027330241,-0.9304766940567595,-0.8850886299956979,0.0473863,0.0589643,0.0694876,35,0.0473256,0.0590050,0.0694735,6,
26,0.5068103044494023,-0.23407247366434536,0.4736173785444897,0.0473862,0.0589642,0.0694875,30,0.0474042,0.0589449,0.0694624,7,
27,0.06855957870400253,0.7280213705537502,-0.188816862079223,0.0473847,0.0589628,0.0694864,30,0.0473296,0.0589465,0.0694868,7,
28,0.1860105930133693,0.9637696617757499,-0.4303280334662507,0.0473525,0.0589322,0.0694613,31,0.0473614,0.0589457,0.0694764,8,
29,-0.2824505777420139,0.323959662203154,-0.7680230007158941,0.0473543,0.0589340,0.0694627,32,0.0473586,0.0589475,0.0694769,8,
30,0.9320753474441956,-0.38063714692756956,-0.9516531752912045,0.0473844,0.0589625,0.0694861,29,0.0473171,0.0589597,0.0694877,7,
31,0.5001237940054646,0.7682869395447078,0.08023501678116474,0.0473524,0.0589322,0.0694612,33,0.0473456,0.0589437,0.0694822,7,
32,-0.996987453331948,0.2875261740179178,-0.8895752455849035,0.0473521,0.0589319,0.0694610,34,0.0473573,0.0589477,0.0694773,8,
33,-0.8884048344979918,-0.394248048625218,0.38620752820746285,0.0473842,0.0589623,0.0694860,33,0.0474039,0.0589466,0.0694621,7,
34,-0.4672332080470103,0.20224392404607516,-0.3160442979226479,0.0473863,0.0589643,0.0694876,31,0.0473388,0.0589504,0.0694828,7,
35,-0.2810517791282594,-0.270823192836428,0.03305142856769838,0.0473860,0.0589640,0.0694874,31,0.0473770,0.0589494,0.0694703,7,
36,-0.9798579409694135,0.057192800522453346,-0.3890747022776233,0.0473541,0.0589338,0.0694625,34,0.0473389,0.0589519,0.0694824,7,
37,0.045073827281412404,-0.7426076557912293,-0.11865351018432979,0.0473509,0.0589308,0.0694601,32,0.0473828,0.0589533,0.0694674,7,
38,0.8719883577682885,0.8360027422240992,0.31196728468612234,0.0473865,0.0589645,0.0694878,34,0.0473583,0.0589410,0.0694786,7,
