i,x01,x02,x03,|x0-xExact|,xN1j,xN2j,xN3j,Nj,xN1g,xN2g,xN3g,Ng,
24,0.006979458119775073,0.4869977549831477,-0.07457063061672264,0.42805038656209504,0.0473853,0.0589634,0.0694868,28,0.0473450,0.0589466,0.0694817,7,
25,0.3588054305957784,-0.4937249384116933,-0.411539587813156,0.5526723068327459,0.0473838,0.0589620,0.0694857,31,0.0473612,0.0589760,0.0694689,6,
26,-0.7939542971584523,-0.2094213812344614,0.5936351146871908,0.841322718211084,0.0473865,0.0589645,0.0694878,31,0.0474111,0.0589436,0.0694604,7,
27,-0.8433621027589127,-0.9510445066214812,0.42522481729322914,1.0099918750425338,0.0473522,0.0589320,0.0694610,34,0.0473740,0.0589494,0.0694713,8,
28,0.6238399974087458,-0.8160004086375152,0.3673213541263982,0.8749477770585679,0.0473528,0.0589307,0.0694605,20,0.0474166,0.0589489,0.0694572,7,
29,-0.32974619224016477,0.8406681049653804,0.2139671029239929,0.7817207365443277,0.0473855,0.0589635,0.0694870,30,0.0473518,0.0589420,0.0694806,7,
30,-0.6731036593283788,0.39509862599306556,-0.0840960857792643,0.7204720803810104,0.0473821,0.0589604,0.0694844,31,0.0473474,0.0589472,0.0694807,7,
31,-0.32786765259453476,-0.0828359799022158,-0.10548994081589513,0.3752360736471663,0.0473854,0.0589635,0.0694869,31,0.0473580,0.0589887,0.0694668,5,
32,-0.7294180022514705,-0.1433197955488259,0.3024257137752848,0.7767864233041021,0.0473532,0.0589330,0.0694619,32,0.0473901,0.0589461,0.0694668,7,
33,0.41145480343324126,0.4732059092069678,-0.9331639514364964,1.0026376356470228,0.0473822,0.0589603,0.0694843,21,0.0473565,0.0589473,0.0694777,8,
34,0.010269517157602381,-0.7186544744229464,-0.5118035238271486,0.777601842843999,0.0473857,0.0589638,0.0694872,33,0.0473567,0.0589570,0.0694752,7,
35,0.5923006337922663,0.6496197928476228,-0.5901775583928015,0.6596512426033279,0.0473529,0.0589326,0.0694616,31,0.0473601,0.0589466,0.0694767,8,
36,-0.16116084922182972,0.8432732573492292,0.29783376418121166,0.7843258889281766,0.0473821,0.0589604,0.0694844,32,0.0473572,0.0589411,0.0694790,7,
37,-0.24080376891107136,0.8525165619793811,-0.2301936276250196,0.7935691935583284,0.0473838,0.0589620,0.0694857,28,0.0473228,0.0589463,0.0694892,7,
