Test Number,Max Eigenvalue,Iterations for Max,Min Eigenvalue,Iterations for Min,Trace,Determinant
1,-1.0688117080895767,9,5.0106075251018405,9,-0.8692330509864967,-0.2133096424667898,
2,-1.1849128671315314,67,0.995370231482831,60,-0.18026101299348873,-1.1904685955139198,
3,null,infinity,null,infinity,2.3506607522760485,1.8981685658676184,
4,-2.3436063296667973,12,1.520477490098343,8,-1.6859106399830472,-1.5413652159593483,
5,null,infinity,null,infinity,-0.07321383666090808,-4.0756613468798,
6,null,infinity,null,infinity,2.209124291189004,2.1577137720467814,
7,1.4440246147866944,9,3.00753468362862,10,1.7765195513897547,0.4801353221924772,
8,-0.5693293457207983,8,11.63602308224785,9,-0.4833907195807723,-0.048928304333097916,
9,-0.5422322323159069,9,10.105760936640129,9,-0.44327728934648025,-0.05365565271470603,
10,null,infinity,null,infinity,0.30899625441973066,0.6675216376597272,
11,-1.523107780724614,11,1.8642284407147107,13,-0.986702094879198,-0.817015423811652,
12,null,infinity,null,infinity,-0.9190579662724008,1.080748947673007,
13,-2.187432899127725,72,0.5369506027093203,59,-0.32501741561577724,-4.07399951574862,
14,null,infinity,null,infinity,-0.6543090793537849,0.21371738470598767,
15,0.5793930977881301,32,-2.458331981860072,36,0.17263199222611902,-0.23569050232759747,
16,-0.6721390594567919,25,2.3826918759527813,27,-0.25243035534082514,-0.2820893059244425,
17,null,infinity,null,infinity,1.4652397075375152,1.153355854948606,
18,null,infinity,null,infinity,2.971846388729218,3.812775343609478,
19,null,infinity,null,infinity,2.2539469022078076,3.866905465584931,
20,null,infinity,null,infinity,2.733202848278619,2.5976779490566164,
21,null,infinity,null,infinity,-1.1347101808754183,0.3901313403682912,
22,-2.166795267066317,5,3.437994252530904,10,-1.87593115910839,-0.6302509074913456,
23,null,infinity,null,infinity,-0.11506499677471282,1.2397357774492284,
24,-1.8559841531367356,10,2.173683686605245,9,-1.395928064790691,-0.8538375705255772,
25,null,infinity,null,infinity,-0.17684612509725905,1.2544698724014747,
26,1.9440214046488982,20,-0.9688555482957247,16,0.9118482195929789,-2.0065294402551244,
27,-1.8517994604109826,5,-18.209547061027425,5,-1.9067156094331534,0.10169387632546711,
28,1.1933261553466044,5,-77.77259298943825,6,1.1804681691422179,-0.015343787874771309,
29,-1.5164947089116172,27,0.9083561154485545,33,-0.4155681434983354,-1.6695043268568155,
30,null,infinity,null,infinity,3.5377245661089196,5.405792645369816,
31,-1.6734939662181003,16,1.276906856467885,15,-0.8903424055054723,-1.3105624398488305,
32,0.6440284222418968,10,-5.830882275196385,11,0.47253446534033294,-0.11045262050613683,
33,-1.4011079307419017,9,-1.700776450128485,10,-1.9890939647397752,0.823806894445987,
34,1.829933531462808,11,2.38798704778477,7,2.2487040075360545,0.7663090808422733,
35,-2.328673456715465,24,0.6533210570252956,26,-0.7980799889794525,-3.564309406042553,
36,-2.341033036549746,16,1.0117962586113847,11,-1.352693298954561,-2.3137642069444624,
37,1.615899169515852,13,-1.458799850804104,11,0.9303944060297136,-1.1076914564187934,
38,null,infinity,null,infinity,2.318924749850653,1.8164092204508109,
39,-1.3440476191861876,26,1.1303642451388953,29,-0.45938188478010433,-1.1890695661697546,
40,2.474134029975886,24,-0.6910155777788648,17,1.02700416767115,-3.5803462604255802,
41,1.670948027136959,9,-6.531929636239219,6,1.5178542909434305,-0.25581239512331766,
42,null,infinity,null,infinity,0.0635727193929756,-3.022914973138109,
